case_id,track,model_id,model_display_name,mode,dependency_ready,model_ready,status,stems,notes
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,bs_roformer_audio_separator,BS-RoFormer via audio-separator,2stems,True,False,model_not_ready_in_07_4,,"RoFormer-family checkpoint, usually vocals/accompaniment; uses a local CLI wrapper."
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,bs_roformer_audio_separator,BS-RoFormer via audio-separator,2stems,True,False,model_not_ready_in_07_4,,"RoFormer-family checkpoint, usually vocals/accompaniment; uses a local CLI wrapper."
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,True,True,outputs_found,bass;drums;guitar;other;piano;vocals,Adds guitar/piano; useful for xiaohetang piano and absent-stem checks.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,True,True,outputs_found,bass;drums;guitar;other;piano;vocals,Adds guitar/piano; useful for xiaohetang piano and absent-stem checks.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,True,True,outputs_found,accompaniment;vocals,vocals/accompaniment; practical karaoke use case.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,True,True,outputs_found,accompaniment;vocals,vocals/accompaniment; practical karaoke use case.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,Hybrid Transformer Demucs fine-tuned checkpoint; MUSDB-style 4-stem.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,Hybrid Transformer Demucs fine-tuned checkpoint; MUSDB-style 4-stem.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,MDX-style Demucs checkpoint; lighter comparison against htdemucs_ft.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,MDX-style Demucs checkpoint; lighter comparison against htdemucs_ft.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,melband_roformer_big_beta4,Mel-RoFormer / MelBand RoFormer Big Beta 4,2stems,True,False,model_not_ready_in_07_4,,Mel-band RoFormer checkpoint; vocals/other target with mel-scale band modeling; uses a local CLI wrapper.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,melband_roformer_big_beta4,Mel-RoFormer / MelBand RoFormer Big Beta 4,2stems,True,False,model_not_ready_in_07_4,,Mel-band RoFormer checkpoint; vocals/other target with mel-scale band modeling; uses a local CLI wrapper.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,Classic STFT magnitude + BLSTM + Wiener filtering baseline; uses a local CLI wrapper.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,True,True,outputs_found,bass;drums;other;vocals,Classic STFT magnitude + BLSTM + Wiener filtering baseline; uses a local CLI wrapper.
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,True,True,outputs_found,bass;drums;other;vocals,Official PyTorch/Torchaudio source-separation bundle.
musdb_am_contra_heart_peripheral,AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,True,True,outputs_found,bass;drums;other;vocals,Official PyTorch/Torchaudio source-separation bundle.
